,precision,recall,f1-score,support
related_cat,0.8146391930338822,0.9469833633994789,0.8758400148306066,9978.0
request_cat,0.7311178247734139,0.5443094916779128,0.6240330067044869,2223.0
offer_cat,0.07692307692307693,0.017241379310344827,0.028169014084507043,58.0
aid_related_cat,0.7520753870316357,0.6225854383358098,0.681231582156285,5384.0
medical_help_cat,0.6052104208416834,0.28679962013295346,0.3891752577319587,1053.0
medical_products_cat,0.5994475138121547,0.3292867981790592,0.4250734573947111,659.0
search_and_rescue_cat,0.54421768707483,0.23121387283236994,0.3245436105476674,346.0
security_cat,0.19230769230769232,0.04484304932735426,0.07272727272727272,223.0
military_cat,0.5856573705179283,0.35507246376811596,0.4421052631578947,414.0
water_cat,0.7375366568914956,0.616421568627451,0.671562082777036,816.0
food_cat,0.777610818933133,0.7040816326530612,0.7390217779364513,1470.0
shelter_cat,0.7625145518044237,0.5603079555175363,0.645956607495069,1169.0
clothing_cat,0.6804123711340206,0.3316582914572864,0.4459459459459459,199.0
money_cat,0.47878787878787876,0.255663430420712,0.33333333333333337,309.0
missing_people_cat,0.45652173913043476,0.16030534351145037,0.2372881355932203,131.0
refugees_cat,0.4830917874396135,0.23255813953488372,0.31397174254317106,430.0
death_cat,0.7756410256410257,0.39933993399339934,0.5272331154684096,606.0
other_aid_cat,0.46826758147512865,0.16288782816229117,0.2416998671978752,1676.0
infrastructure_related_cat,0.3939393939393939,0.09535452322738386,0.15354330708661418,818.0
transport_cat,0.639344262295082,0.19796954314720813,0.3023255813953489,591.0
buildings_cat,0.6666666666666666,0.38095238095238093,0.4848484848484849,672.0
electricity_cat,0.5343511450381679,0.2777777777777778,0.36553524804177545,252.0
tools_cat,0.1,0.0125,0.022222222222222227,80.0
hospitals_cat,0.2619047619047619,0.07857142857142857,0.12087912087912087,140.0
shops_cat,0.1111111111111111,0.017543859649122806,0.030303030303030304,57.0
aid_centers_cat,0.23684210526315788,0.06206896551724138,0.09836065573770492,145.0
other_infrastructure_cat,0.2538860103626943,0.0875,0.1301460823373174,560.0
weather_related_cat,0.8517863459497701,0.6642758620689655,0.7464352138871667,3625.0
floods_cat,0.8308321964529332,0.58,0.6831183398766124,1050.0
storm_cat,0.7675033025099075,0.47818930041152263,0.5892494929006086,1215.0
fire_cat,0.4752475247524752,0.3333333333333333,0.39183673469387753,144.0
earthquake_cat,0.8850678733031674,0.7938311688311688,0.8369704749679076,1232.0
cold_cat,0.6692913385826772,0.3102189781021898,0.4239401496259352,274.0
other_weather_cat,0.4603960396039604,0.13943028485757122,0.2140391254315305,667.0
direct_report_cat,0.6682027649769585,0.406650641025641,0.5056039850560399,2496.0
micro avg,0.7576546618145313,0.5867304795685341,0.6613269804759166,41162.0
macro avg,0.5522386691504667,0.33479221852326874,0.4033790953404914,41162.0
weighted avg,0.716083066656183,0.5867304795685341,0.6279193930318977,41162.0
samples avg,0.6395122180955396,0.5142856497783878,0.5234215372905281,41162.0
